  -7.5000000e-01   3.5000000e-01   1.0000000e+00   7.7500000e-01   0.0000000e+00   0.0000000e+00
  -6.5000000e-01   3.5000000e-01   2.0000000e+00   7.5000000e-01   0.0000000e+00   0.0000000e+00
  -7.5000000e-01   4.5000000e-01   3.0000000e+00   8.0000000e-01   0.0000000e+00   0.0000000e+00
  -6.5000000e-01   2.5000000e-01   4.0000000e+00   7.2500000e-01   0.0000000e+00   1.0000000e+00
  -6.0000000e-01   1.5000000e-01   5.0000000e+00   6.8750000e-01   1.0000000e+00   2.0000000e+00
  -5.0000000e-01   1.5000000e-01   6.0000000e+00   6.6250000e-01   1.0000000e+00   1.0000000e+00
  -3.7500000e-01   5.0000000e-02   7.0000000e+00   6.0625000e-01   2.0000000e+00   2.0000000e+00
  -6.5000000e-01   3.5000000e-01   8.0000000e+00   7.5000000e-01   2.0000000e+00  -1.0000000e+00
  -6.5000000e-01   3.5000000e-01   9.0000000e+00   7.5000000e-01   2.0000000e+00  -2.0000000e+00
  -3.2500000e-01  -1.5000000e-01   1.0000000e+01   1.0005438e+03   2.0000000e+00   1.0000000e+00
  -5.6875000e-01   2.2500000e-01   1.1000000e+01   6.9843750e-01   2.0000000e+00   3.2000000e+01
  -6.0000000e-01   1.5000000e-01   1.2000000e+01   6.8750000e-01   3.0000000e+00  -1.0000000e+00
  -6.0000000e-01   1.5000000e-01   1.3000000e+01   6.8750000e-01   3.0000000e+00  -2.0000000e+00
  -4.0625000e-01  -2.5000000e-02   1.4000000e+01   1.0005953e+03   3.0000000e+00   1.0000000e+00
  -5.2812500e-01   1.6250000e-01   1.5000000e+01   6.7265625e-01   1.0000000e+00   3.2000000e+01
  -3.7500000e-01   5.0000000e-02   1.6000000e+01   6.0625000e-01   4.0000000e+00  -1.0000000e+00
  -3.7500000e-01   5.0000000e-02   1.7000000e+01   6.0625000e-01   4.0000000e+00  -2.0000000e+00
  -3.0312500e-01   6.2500000e-02   1.8000000e+01   5.9140625e-01   4.0000000e+00   1.0000000e+00
  -1.5468750e-01   1.8750000e-02   1.9000000e+01   5.4335938e-01   1.0000000e+00   2.0000000e+00
  -1.5625000e-03  -9.3750000e-02   2.0000000e+01   1.0004770e+03   5.0000000e+00   1.0000000e+00
